"","species","age","mean_g_diameter","mean_g_height","mean_g_leaf_area","mean_g_inv","mean_g_gross_inv","wood_density","mean_leaf_m_whole","mean_P_area","mean_N_area","LMA"
"63","PHPH",7,1.23666666666667,31,20.1889359586295,4009.04941765958,7209.10048645819,0.85,0.47370090299935,18.7987663784596,0.202215477227273,0.0193333333333333
"64","PHPH",2.4,1.54944444444445,154,72.7637319691263,2703.83169612619,3079.7419739154,0.85,0.55360314002224,38.003814111875,0.103058485609375,0.0155
"65","PHPH",5,0.72,43.4285714285714,17.3983303401126,955.49087042903,1923.500454425,0.85,0.515906003654161,NA,NA,0.017
"66","PHPH",9,0.797619047619047,-43.5714285714286,5.2529339111358,3867.02226710652,7950.25792505428,0.85,0.348036384715373,16.6269403896667,0.233324560537501,0.0193333333333333
"67","PHPH",32,0.454285714285714,-38.5714285714286,-5.85856215232437,3905.05898626146,6739.81138370312,0.85,0.21100679226028,11.4696963996904,0.147365141612244,0.0156666666666667
"68","PILI",7,0.249841269857143,-40.7142857142857,-0.749916923256414,122.073328539754,282.6883886914,0.8425,0.0811855350128956,65.9945313308335,0.215241353125001,0.0095
"69","PILI",1.4,0.861111111111111,203.333333333333,11.2822970921179,286.714833234694,439.160209669249,0.8425,0.547344828815165,25.9765515254587,0.133369753258569,0.007
"70","PILI",2.4,0.868333333333333,77.5,-2.4762215829317,253.238001102574,482.699859286165,0.8425,0.336065074784728,37.5987073175,0.14386118005,0.0105
"71","PILI",5,0.840555555555555,62.1666666666667,-4.29459892445847,369.392322753538,812.035761150244,0.8425,0.281440698963024,NA,NA,0.0095
"72","PUTU",7,0.619047619047619,41,-7.1983848837014,1645.7917066634,4013.32203098321,0.886666666666667,0.357390036618398,21.60727671,0.24538554625,0.0104
"73","PUTU",1.4,1.98927083333333,214.5,168.032283955993,2429.44099983172,2932.55733091784,0.886666666666667,0.613902011797618,32.898501161111,0.237235620833333,0.0075
"74","PUTU",2.4,1.23904761904762,152.428571428571,73.8220849173738,2142.18287932994,2993.56213214238,0.886666666666667,0.515403403275817,30.7742382569839,0.405660769767993,0.0098
"75","PUTU",5,0.867142857142859,69.4285714285714,3.17719474340448,1212.00138935714,2452.31521580843,0.886666666666667,0.396018654509407,NA,NA,0.0119666666666667
"76","PUTU",9,1.18619047619048,37.1428571428571,-12.8529888126741,3364.12485225182,6476.75707290768,0.886666666666667,0.241125086547343,21.4606268324557,0.219554061957895,0.0127666666666667
"77","PUTU",32,0.388888888888889,47.5,-3.47065641796735,2407.83585983442,3791.27654898487,0.886666666666667,0.0703154715185784,17.6339424593886,0.185973102563859,0.0113333333333333
